id,titulo,orcamento,bilheteria_mundial,duracao_minutos,nota_media,numero_votos,metascore,produtoras,locacoes_filmagem
tt33764258,The Odyssey,250000000.0,922051460.0,173.0,8.5,348090.0,88.0,"[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0147954', 'name': 'Syncopy'}]","['Messinia, Peloponnese region, Greece']"
tt0021749,City Lights,1500000.0,56018.0,87.0,8.5,217547.0,99.0,"[{'id': 'co0028083', 'name': 'Charles Chaplin Productions'}]","['Chaplin Studios - 1416 N. La Brea Avenue, Hollywood, Los Angeles, California, USA']"
tt0910970,WALL·E,180000000.0,527404782.0,98.0,8.4,1334115.0,95.0,"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}, {'id': 'co0622634', 'name': 'FortyFour Studios'}]","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']"
tt0078788,Apocalypse Now,31500000.0,105513178.0,147.0,8.4,774972.0,94.0,"[{'id': 'co0020958', 'name': 'American Zoetrope'}, {'id': 'co0035894', 'name': 'Zoetrope Studios'}]","['Baler Bay, Baler, Aurora, Philippines']"
tt0209144,Memento,9000000.0,43260108.0,113.0,8.4,1450156.0,83.0,"[{'id': 'co0082027', 'name': 'Newmarket Capital Group'}, {'id': 'co0050544', 'name': 'Team Todd'}, {'id': 'co0156819', 'name': 'I Remember Productions'}]","['Travel Inn - 7254 Foothill Blvd., Tujunga, Los Angeles, California, USA']"
tt4154756,Avengers: Infinity War,350000000.0,2052415039.0,149.0,8.4,1393829.0,68.0,"[{'id': 'co0051941', 'name': 'Marvel Studios'}, {'id': 'co0265297', 'name': 'Jason Roberts Productions'}, {'id': 'co0713020', 'name': 'South Pictures'}]","['Cockburn Street, Edinburgh, City of Edinburgh, Scotland, UK']"
tt15239678,Dune: Part Two,190000000.0,714844358.0,166.0,8.4,781524.0,79.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}, {'id': 'co0753601', 'name': 'Villeneuve Films'}]","['Wadi Rum, Jordan']"
tt0082971,Raiders of the Lost Ark,18000000.0,389925971.0,115.0,8.4,1116659.0,86.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0071326', 'name': 'Lucasfilm'}]","['University of the Pacific, Stockton, California, USA']"
tt4633694,Spider-Man: Into the Spider-Verse,90000000.0,394884133.0,117.0,8.4,804765.0,87.0,"[{'id': 'co0014351', 'name': 'Columbia Pictures'}, {'id': 'co0047120', 'name': 'Marvel Entertainment'}, {'id': 'co0121181', 'name': 'Sony Pictures Animation'}]",[]
tt0405094,The Lives of Others,2000000.0,77672685.0,137.0,8.4,445571.0,89.0,"[{'id': 'co0008261', 'name': 'Wiedemann & Berg Filmproduktion'}, {'id': 'co0051615', 'name': 'Bayerischer Rundfunk (BR)'}, {'id': 'co0014456', 'name': 'ARTE'}]","['Gedenkstätte Hohenschönhausen, Hohenschönhausen, Berlin, Germany']"
